Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,HP,Num KO
1,BULBASAUR,,45,49,49,65,65,45,GRASS,POISON,0,23410,294,79.62585034013605
2,IVYSAUR,,60,62,63,80,80,60,GRASS,POISON,0,20647,324,63.72530864197531
3,VENUSAUR,,80,82,83,100,100,80,GRASS,POISON,0,17733,364,48.717032967032964
4,CHARMANDER,,39,52,43,60,50,65,FIRE,,0,23766,282,84.27659574468085
5,CHARMELEON,,58,64,58,80,65,80,FIRE,,0,20586,320,64.33125
6,CHARIZARD,,78,84,78,109,85,100,FIRE,FLYING,0,17101,360,47.50277777777778
7,SQUIRTLE,,44,48,65,50,64,43,WATER,,0,20289,292,69.48287671232876
8,WARTORTLE,,59,63,80,65,80,58,WATER,,0,17923,322,55.661490683229815
9,BLASTOISE,,79,83,100,85,105,78,WATER,,0,15376,362,42.47513812154696
10,CATERPIE,,45,30,35,20,20,45,BUG,,0,31660,294,107.68707482993197
11,METAPOD,,50,20,55,25,25,30,BUG,,0,27644,304,90.9342105263158
12,BUTTERFREE,,60,45,50,90,80,70,BUG,FLYING,0,23317,324,71.96604938271605
13,WEEDLE,,40,35,30,20,20,50,BUG,POISON,0,32674,284,115.04929577464789
14,KAKUNA,,45,25,50,25,25,35,BUG,POISON,0,28335,294,96.37755102040816
15,BEEDRILL,,65,90,40,45,80,75,BUG,POISON,0,23440,334,70.17964071856288
16,PIDGEY,,40,45,40,35,35,56,NORMAL,FLYING,0,25694,284,90.47183098591549
17,PIDGEOTTO,,63,60,55,50,50,71,NORMAL,FLYING,0,21996,330,66.65454545454546
18,PIDGEOT,,83,80,75,70,70,101,NORMAL,FLYING,0,18446,370,49.85405405405405
19,RATTATA,,30,56,35,25,35,72,NORMAL,,0,28167,264,106.69318181818181
20,RATICATE,,55,81,60,50,70,97,NORMAL,,0,21089,314,67.1624203821656
21,SPEAROW,,40,60,30,31,31,70,NORMAL,FLYING,0,27959,284,98.44718309859155
22,FEAROW,,65,90,65,61,61,100,NORMAL,FLYING,0,19941,334,59.703592814371255
23,EKANS,,35,60,44,40,54,55,POISON,,0,23021,274,84.01824817518248
24,ARBOK,,60,95,69,65,79,80,POISON,,0,18392,324,56.76543209876543
25,PIKACHU,,35,55,40,50,50,90,ELECTRIC,,0,23778,274,86.78102189781022
26,RAICHU,,60,90,55,90,80,110,ELECTRIC,,0,19609,324,60.52160493827161
27,SANDSHREW,,50,75,85,20,30,40,GROUND,,0,24577,304,80.84539473684211
28,SANDSLASH,,75,100,110,45,55,65,GROUND,,0,19652,354,55.51412429378531
29,NIDORANfE,,55,47,52,40,40,41,POISON,,0,23524,314,74.9171974522293
30,NIDORINA,,70,62,67,55,55,56,POISON,,0,20398,344,59.29651162790697
31,NIDOQUEEN,,90,92,87,75,85,76,POISON,GROUND,0,17970,384,46.796875
32,NIDORANmA,,46,57,40,40,40,50,POISON,,0,25160,296,85.0
33,NIDORINO,,61,72,57,55,55,65,POISON,,0,21376,326,65.57055214723927
34,NIDOKING,,81,102,77,85,75,85,POISON,GROUND,0,19334,366,52.82513661202186
35,CLEFAIRY,,70,45,48,60,65,35,FAIRY,,0,20788,344,60.43023255813954
36,CLEFABLE,,95,70,73,95,90,60,FAIRY,,0,16877,394,42.83502538071066
37,VULPIX,,38,41,40,50,65,65,FIRE,,0,22988,280,82.1
38,NINETALES,,73,76,75,81,100,100,FIRE,,0,17024,350,48.64
39,JIGGLYPUFF,,115,45,20,45,25,20,NORMAL,FAIRY,0,30421,434,70.09447004608295
40,WIGGLYTUFF,,140,70,45,85,50,45,NORMAL,FAIRY,0,22641,484,46.77892561983471
41,ZUBAT,,40,45,35,30,40,55,POISON,FLYING,0,25380,284,89.36619718309859
42,GOLBAT,,75,80,70,65,75,90,POISON,FLYING,0,18197,354,51.40395480225989
43,ODDISH,,45,50,55,75,65,30,GRASS,POISON,0,22699,294,77.20748299319727
44,GLOOM,,60,65,70,85,75,40,GRASS,POISON,0,20328,324,62.74074074074074
45,VILEPLUME,,75,80,85,110,90,50,GRASS,POISON,0,18162,354,51.30508474576271
46,PARAS,,35,70,55,45,55,25,BUG,GRASS,0,30101,274,109.85766423357664
47,PARASECT,,60,95,80,60,80,30,BUG,GRASS,0,24335,324,75.10802469135803
48,VENONAT,,60,55,50,40,55,45,BUG,POISON,0,24060,324,74.25925925925925
49,VENOMOTH,,70,65,60,90,75,90,BUG,POISON,0,21134,344,61.43604651162791
50,DIGLETT,,10,55,25,35,45,95,GROUND,,0,30560,224,136.42857142857142
51,DUGTRIO,,35,100,50,50,70,120,GROUND,,0,23497,274,85.75547445255475
52,MEOWTH,,40,45,35,40,40,90,NORMAL,,0,27540,284,96.97183098591549
53,PERSIAN,,65,70,60,65,65,115,NORMAL,,0,21425,334,64.14670658682634
54,PSYDUCK,,50,52,48,65,50,55,WATER,,0,23495,304,77.28618421052632
55,GOLDUCK,,80,82,78,95,80,85,WATER,,0,18078,364,49.66483516483517
56,MANKEY,,40,80,35,35,45,70,FIGHTING,,0,27730,284,97.64084507042253
57,PRIMEAPE,,65,105,60,60,70,95,FIGHTING,,0,21727,334,65.05089820359281
58,GROWLITHE,,55,70,45,70,50,60,FIRE,,0,23483,314,74.78662420382166
59,ARCANINE,,90,110,80,100,80,95,FIRE,,0,17605,384,45.846354166666664
60,POLIWAG,,40,50,40,40,40,90,WATER,,0,25818,284,90.90845070422536
61,POLIWHIRL,,65,65,65,50,50,90,WATER,,0,21516,334,64.41916167664671
62,POLIWRATH,,90,95,95,70,90,70,WATER,FIGHTING,0,17661,384,45.9921875
63,ABRA,,25,20,15,105,55,90,PSYCHIC,,0,31744,254,124.97637795275591
64,KADABRA,,40,35,30,120,70,105,PSYCHIC,,0,26425,284,93.04577464788733
65,ALAKAZAM,,55,50,45,135,95,120,PSYCHIC,,0,22175,314,70.62101910828025
66,MACHOP,,70,80,50,35,35,35,FIGHTING,,0,26792,344,77.88372093023256
67,MACHOKE,,80,100,70,50,60,45,FIGHTING,,0,21600,364,59.34065934065934
68,MACHAMP,,90,130,80,65,85,55,FIGHTING,,0,18833,384,49.044270833333336
69,BELLSPROUT,,50,75,35,70,30,40,GRASS,POISON,0,29872,304,98.26315789473684
70,WEEPINBELL,,65,90,50,85,45,55,GRASS,POISON,0,25321,334,75.81137724550898
71,VICTREEBEL,,80,105,65,100,70,70,GRASS,POISON,0,21155,364,58.11813186813187
72,TENTACOOL,,40,40,35,50,100,70,WATER,POISON,0,20853,284,73.42605633802818
73,TENTACRUEL,,80,70,65,80,120,100,WATER,POISON,0,16390,364,45.027472527472526
74,GEODUDE,,40,80,100,30,30,20,ROCK,GROUND,0,30129,284,106.08802816901408
75,GRAVELER,,55,95,115,45,45,35,ROCK,GROUND,0,26195,314,83.42356687898089
76,GOLEM,,80,120,130,55,65,45,ROCK,GROUND,0,22610,364,62.11538461538461
77,PONYTA,,50,85,55,65,65,90,FIRE,,0,20971,304,68.98355263157895
78,RAPIDASH,,65,100,70,80,80,105,FIRE,,0,18459,334,55.26646706586826
79,SLOWPOKE,,90,65,65,40,40,15,WATER,PSYCHIC,0,24027,384,62.5703125
80,SLOWBRO,,95,75,110,100,80,30,WATER,PSYCHIC,0,17054,394,43.28426395939086
81,MAGNEMITE,,25,35,70,95,55,45,ELECTRIC,STEEL,0,18351,254,72.24803149606299
82,MAGNETON,,50,60,95,120,70,70,ELECTRIC,STEEL,0,15590,304,51.2828947368421
